,Type of property,Location,Postcode,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2,Province,Region
4404,apartment,leuven,3010,10655035,435000,Sint-Lambertusstraat 32 bus 0001,2,B,137.0,0,1,10,0,0,2,2004,Good,0,1,0,0,2,Installed,Gas,435000,€435000,1,Vlaams-Brabant,Flanders
4405,mansion,colfontaine,7340,10655034,189000,Boulevard Saincetelette 39,3,F,447.0,0,1,24,662,40,2,0,Good,0,1,0,0,0,Installed,Fuel oil,189000,€189000,1,Hainaut,Wallonia
4406,house,kapellen,2950,10655031,530000,Bredabaan 167A,2,D,368.0,0,0,0,1230,0,0,2005,0,0,0,0,0,0,0,Gas,530000,€530000,0,Antwerpen,Flanders
4407,house,grimbergen,1850,10655030,624000,Brusselsesteenweg 65,3,D,325.0,0,0,0,1330,48,3,1934,Good,0,1,0,0,2,Installed,Gas,624000,€624000,0,Vlaams-Brabant,Flanders
4408,house,huy,4500,10655022,105000,Avenuedes Ardennes 7d,1,B,159.0,0,0,0,35,0,2,0,Good,0,1,0,0,1,Semi equipped,Gas,105000,€105000,0,Liï¿½ge,Wallonia
4409,house,zwijndrecht%20%28zwijndrecht%29,2070,10655019,225000,Gentse Baan 45A,2,D,323.0,0,1,18,70,0,2,1899,Good,0,1,0,0,0,Installed,Gas,225000,€225000,1,Antwerpen,Flanders
4410,house,herseaux,7712,10655018,179000,Avenue de Maire 202,3,D,285.0,0,0,0,0,35,2,0,0,0,1,0,0,2,0,Gas,179000,€179000,0,Hainaut,Wallonia
4411,apartment,mouscron,7700,10655017,195000,Avenue de Maire 202,1,C,175.0,0,0,0,0,0,2,2009,Just renovated,0,1,1,0,0,0,Gas,195000,€195000,0,Hainaut,Wallonia
4412,apartment,sint-truiden,3800,10576608,245000,Begijnhof 58,2,C,291.0,0,1,25,0,0,0,1982,To be done up,0,1,0,0,1,0,Gas,245000,€245000,1,Limburg,Flanders
4413,apartment,sint-truiden,3800,10576607,245000,Begijnhof 58,2,C,291.0,0,1,26,0,0,2,1982,To be done up,0,1,0,0,2,Installed,Gas,245000,€245000,1,Limburg,Flanders
4414,apartment,celles,7760,10655014,305000,Abeelstraat 9A,3,B,148.0,0,1,8,0,38,2,0,Just renovated,0,1,0,0,2,Installed,Gas,305000,€305000,1,Hainaut,Wallonia
4415,house,celles,7760,10655013,305000,Abeelstraat 9A,3,B,148.0,0,1,8,0,38,2,0,Just renovated,0,1,0,0,2,Installed,Gas,305000,€305000,1,Hainaut,Wallonia
4416,apartment,uccle,1180,10655011,315000,Avenue Louise 231,2,F,299.0,0,1,14,0,39,3,1978,Good,0,1,0,0,1,Installed,Gas,315000,€315000,1,Brussels Hoofdstedelijk Gewest,Brussels
4418,penthouse,uccle,1180,10655004,1340000,Bld. Brand Whitlock 108,3,B,88.0,0,1,0,0,70,2,2023,As new,0,2,0,1,3,USA hyper equipped,Gas,1340000,€1340000,1,Brussels Hoofdstedelijk Gewest,Brussels
4419,house,moignel%C3%89e,5060,10606514,175000,Av. Delleur 17,3,E,401.0,0,0,0,200,32,3,0,Good,0,1,0,0,1,Semi equipped,Fuel oil,175000,€175000,0,Namur,Wallonia
4425,flat-studio,middelkerke,8430,10496949,159000,Paul de Smet de Naeyerstraat 4,0,C,245.0,1,0,0,0,0,0,0,Just renovated,0,1,0,0,1,Installed,Electric,159000,€159000,0,West-Vlaanderen,Flanders
4426,house,houthulst,8650,10463129,165000,Boterstraat 39,3,F,1059.0,0,0,0,1035,0,4,1921,To renovate,0,1,0,0,2,Semi equipped,Wood,165000,€165000,0,West-Vlaanderen,Flanders
4427,house,gent,9000,10654985,289000,Zwijnaardsesteenweg 23,3,C,267.0,0,0,0,59,25,2,0,Just renovated,0,1,0,0,2,Installed,Gas,289000,€289000,0,Oost-Vlaanderen,Flanders
4429,apartment-block,monceau-sur-sambre,6031,10649654,179900,Rue de gilly 81,2,E,370.0,0,0,0,0,0,2,0,Good,0,0,1,0,1,Installed,Gas,179900,€179900,0,Hainaut,Wallonia
4430,apartment,molenbeek-saint-jean,1080,10654983,190000,Avenue louise 523,2,G,845.0,0,0,0,0,28,0,0,0,0,1,0,0,1,0,0,190000,€190000,0,Brussels Hoofdstedelijk Gewest,Brussels
4431,apartment,nivelles,1400,10654977,180000,Rue de Namur 93,2,C,230.0,0,1,7,0,26,2,1976,To be done up,0,0,1,0,1,Semi equipped,Gas,180000,€180000,1,Brabant wallon,Wallonia
4432,apartment,eupen,4700,10583865,188000,Poteauerstrasse 90,3,D,313.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,188000,€188000,0,Liï¿½ge,Wallonia
4433,house,uccle,1180,10654962,1625000,Ch. de Waterloo 1354,7,E,247.0,0,1,0,620,0,3,1970,Good,0,4,4,0,5,Hyper equipped,0,1625000,€1625000,1,Brussels Hoofdstedelijk Gewest,Brussels
4434,house,rhode-saint-gen%C3%88se,1640,10654956,949000,Chaussée de Bruxelles 168,6,C,256.0,0,0,0,1018,45,4,1970,As new,0,2,0,0,2,Installed,Gas,949000,€949000,0,Vlaams-Brabant,Flanders
4436,house,grivegn%C3%A9e,4030,10654942,350000,rue Saint-Gilles 590,3,C,176.0,0,1,0,1015,28,3,0,0,0,0,1,0,2,Installed,Gas,350000,€350000,1,Liï¿½ge,Wallonia
4438,house,wilrijk,2610,10654931,280000,Prins Boudewijnlaaan 318,2,C,290.0,0,1,10,152,0,2,0,Good,0,1,0,0,2,Installed,Gas,280000,€280000,1,Antwerpen,Flanders
4439,apartment,westende-bad,8434,10654930,315000,Zeedijk 127-128,2,C,247.0,1,1,0,0,0,2,1999,Good,0,1,0,0,0,Installed,Electric,315000,€315000,1,West-Vlaanderen,Flanders
4440,apartment,middelkerke,8430,10654929,420000,Zeedijk 127-128,2,D,378.0,1,1,0,0,0,2,2002,Good,0,1,0,0,1,Semi equipped,Electric,420000,€420000,1,West-Vlaanderen,Flanders
4441,house,mont-sur-marchienne,6032,10654927,428000,Avenue Paul pastur 380,5,G,666.0,0,1,25,3200,58,4,0,0,0,2,0,0,3,Installed,Gas,428000,€428000,1,Hainaut,Wallonia
4442,house,walhain-saint-paul,1457,10654926,250000,Chaussée de Louvain 244,2,G,875.0,0,0,0,1510,24,3,0,To renovate,0,0,1,0,1,Not installed,0,250000,€250000,0,Brabant wallon,Wallonia
4443,house,grez-doiceau,1390,10654925,549000,Chaussée de Louvain 244,3,A+,35.0,0,0,0,2120,28,4,2020,0,0,1,0,1,3,Installed,0,549000,€549000,0,Brabant wallon,Wallonia
4444,house,aartrijke,8211,10654921,410000,Groenestraat 2,3,B,152.0,0,1,0,595,0,4,0,Good,0,0,0,0,2,Installed,Gas,410000,€410000,1,West-Vlaanderen,Flanders
4447,house,beveren-waas,9120,10654916,545000,Prinses Josephine Charlottelaan 72,3,C,287.0,0,1,0,188,0,2,0,Good,0,1,1,0,3,Installed,Gas,545000,€545000,1,Oost-Vlaanderen,Flanders
4448,apartment,deurne,2100,10654915,169000,Bischoppenhoflaan 284,2,B,116.0,0,0,0,0,30,2,1965,To be done up,0,1,0,0,1,Semi equipped,Gas,169000,€169000,0,Antwerpen,Flanders
4450,apartment,kortrijk,8500,10654905,230000,Gasthuisstraat 1,2,B,152.68,0,0,0,0,0,2,2012,0,0,1,0,0,1,0,0,230000,€230000,0,West-Vlaanderen,Flanders
4451,house,kuurne,8520,10607781,169000,Gasthuisstraat 1,3,C,246.0,0,0,0,387,0,2,1929,Good,0,1,0,0,1,0,0,169000,€169000,0,West-Vlaanderen,Flanders
4452,house,temse,9140,10654903,239900,Casinostraat 3,2,B,178.0,0,1,12,90,26,2,1937,Good,0,1,0,0,2,Installed,0,239900,€239900,1,Oost-Vlaanderen,Flanders
4453,mansion,maldegem,9990,10654902,499000,Marktstraat 55,3,E,421.0,0,0,0,276,0,3,1949,Good,0,1,0,0,2,Installed,0,499000,€499000,0,Oost-Vlaanderen,Flanders
4454,house,herselt,2230,10654900,295000,Schrieksebaan 69,3,F,1003.0,0,0,0,4000,0,4,1930,To renovate,0,1,0,0,1,Installed,Fuel oil,295000,€295000,0,Antwerpen,Flanders
4455,flat-studio,knokke,8300,10654899,309000,Komvest 1,1,B,150.0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,309000,€309000,0,West-Vlaanderen,Flanders
4459,apartment,knokke-heist,8300,10654888,195000,Dumortierlaan 89,1,B,130.0,0,0,0,0,0,2,1964,0,0,1,0,0,1,0,0,195000,€195000,0,West-Vlaanderen,Flanders
4460,apartment,knokke,8300,10654887,245000,Dumortierlaan 89,1,B,174.0,0,0,0,0,0,2,1964,0,0,1,0,0,0,0,Gas,245000,€245000,0,West-Vlaanderen,Flanders
4461,flat-studio,knokke-heist,8300,10654886,249000,Dumortierlaan 89,1,B,133.0,0,0,0,0,0,2,1964,0,0,1,0,0,0,0,0,249000,€249000,0,West-Vlaanderen,Flanders
4463,apartment,heist-aan-zee,8301,10654884,319000,Dumortierlaan 89,2,C,233.0,0,0,0,0,0,2,1964,0,0,1,0,0,0,0,Gas,319000,€319000,0,West-Vlaanderen,Flanders
4464,apartment,knokke,8300,10654882,379000,Dumortierlaan 89,1,C,205.0,0,0,0,0,0,2,1965,As new,0,1,0,0,1,0,0,379000,€379000,0,West-Vlaanderen,Flanders
4465,apartment,knokke,8300,10654881,415000,Dumortierlaan 89,2,B,130.0,0,0,0,0,0,2,1978,Good,0,1,0,0,0,0,Gas,415000,€415000,0,West-Vlaanderen,Flanders
4467,apartment,knokke-heist,8300,10654879,429000,Dumortierlaan 89,1,B,115.0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,429000,€429000,0,West-Vlaanderen,Flanders
4469,apartment,knokke-heist,8300,10654877,445000,Dumortierlaan 89,1,A,66.0,0,0,0,0,0,2,2017,0,0,1,3,0,1,0,0,445000,€445000,0,West-Vlaanderen,Flanders
4470,apartment,knokke-heist,8300,10654876,445000,Dumortierlaan 89,1,B,119.0,0,0,0,0,0,2,1977,0,0,1,0,0,0,0,0,445000,€445000,0,West-Vlaanderen,Flanders
4471,apartment,knokke,8300,10654874,475000,Dumortierlaan 89,2,D,314.0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,475000,€475000,0,West-Vlaanderen,Flanders
4472,apartment,knokke-heist,8300,10654873,460000,Dumortierlaan 89,2,C,240.0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,460000,€460000,0,West-Vlaanderen,Flanders
4474,apartment,knokke,8300,10654871,485000,Dumortierlaan 89,2,A,95.0,0,0,0,0,0,2,2018,Good,0,2,0,0,0,0,Gas,485000,€485000,0,West-Vlaanderen,Flanders
4476,penthouse,knokke,8300,10654869,499000,Dumortierlaan 89,2,E,456.0,0,0,0,0,0,2,1969,Good,0,1,0,0,1,0,0,499000,€499000,0,West-Vlaanderen,Flanders
4477,apartment,knokke,8300,10654866,515000,Dumortierlaan 89,2,B,145.0,0,0,0,0,0,2,1968,Good,0,1,0,0,0,0,0,515000,€515000,0,West-Vlaanderen,Flanders
4478,apartment,knokke,8300,10654865,525000,Dumortierlaan 89,2,B,175.0,0,0,0,0,0,2,1992,Good,0,0,0,0,0,0,Gas,525000,€525000,0,West-Vlaanderen,Flanders
4480,apartment,knokke,8300,10654863,545000,Dumortierlaan 89,2,B,192.0,0,0,0,0,0,2,1988,Good,0,1,0,0,0,0,0,545000,€545000,0,West-Vlaanderen,Flanders
4481,apartment,knokke,8300,10654862,554000,Dumortierlaan 89,2,B,158.0,0,0,0,0,0,2,2017,Good,0,1,0,0,0,0,0,554000,€554000,0,West-Vlaanderen,Flanders
4482,apartment,knokke,8300,10654861,565000,Dumortierlaan 89,2,B,181.0,0,0,0,0,0,2,1967,0,0,1,4,0,0,0,0,565000,€565000,0,West-Vlaanderen,Flanders
4483,apartment,knokke,8300,10654860,565000,Dumortierlaan 89,2,C,207.0,0,0,0,0,0,2,2002,Good,0,1,0,0,0,0,0,565000,€565000,0,West-Vlaanderen,Flanders
4484,apartment,knokke-heist,8300,10654859,565000,Dumortierlaan 89,2,C,238.0,0,0,0,0,0,2,0,Good,0,1,0,0,1,0,Gas,565000,€565000,0,West-Vlaanderen,Flanders
4485,apartment,knokke-heist,8300,10654858,594000,Dumortierlaan 89,3,B,113.0,0,0,0,0,0,2,1976,0,0,2,0,0,1,0,0,594000,€594000,0,West-Vlaanderen,Flanders
4486,apartment,knokke,8300,10654857,565000,Dumortierlaan 89,2,B,128.0,0,0,0,0,0,2,0,Good,0,1,0,0,0,0,0,565000,€565000,0,West-Vlaanderen,Flanders
4487,apartment,knokke,8300,10654855,599000,Dumortierlaan 89,2,B,102.0,0,0,0,0,0,2,1977,0,0,1,0,0,0,0,Gas,599000,€599000,0,West-Vlaanderen,Flanders
4488,apartment,knokke,8300,10654854,635000,Dumortierlaan 89,2,B,125.0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,635000,€635000,0,West-Vlaanderen,Flanders
4490,apartment,knokke-heist,8300,10654848,615000,Dumortierlaan 89,2,B,129.0,0,0,0,0,0,2,1977,Good,0,1,0,0,0,0,0,615000,€615000,0,West-Vlaanderen,Flanders
4491,apartment,knokke,8300,10654847,669000,Dumortierlaan 89,3,B,169.0,0,0,0,0,0,2,1967,Good,0,1,0,0,0,0,Gas,669000,€669000,0,West-Vlaanderen,Flanders
4492,apartment,knokke,8300,10654846,675000,Dumortierlaan 89,2,B,164.0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,Gas,675000,€675000,0,West-Vlaanderen,Flanders
4493,apartment,knokke,8300,10654845,685000,Dumortierlaan 89,2,C,213.0,0,0,0,0,0,2,2010,0,0,2,0,0,1,0,Gas,685000,€685000,0,West-Vlaanderen,Flanders
4494,apartment,knokke,8300,10654844,695000,Dumortierlaan 89,2,B,156.0,0,0,0,0,0,2,1989,0,0,1,0,0,0,0,Gas,695000,€695000,0,West-Vlaanderen,Flanders
4495,apartment,knokke,8300,10654843,695000,Dumortierlaan 89,2,C,209.0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,695000,€695000,0,West-Vlaanderen,Flanders
4496,apartment,knokke,8300,10654842,695000,Dumortierlaan 89,2,B,150.0,0,0,0,0,0,2,1992,0,0,2,4,0,0,0,Gas,695000,€695000,0,West-Vlaanderen,Flanders
4497,apartment,knokke-heist,8300,10654841,695000,Dumortierlaan 89,3,B,122.0,0,0,0,0,0,2,0,As new,0,2,0,0,0,0,0,695000,€695000,0,West-Vlaanderen,Flanders
4498,apartment,knokke-heist,8300,10654840,695000,Dumortierlaan 89,2,C,252.0,0,0,0,0,0,2,1981,0,0,1,0,0,1,0,Electric,695000,€695000,0,West-Vlaanderen,Flanders
4499,apartment,knokke-heist,8300,10654839,695000,Dumortierlaan 89,2,A,93.0,0,0,0,0,0,2,2004,0,0,2,0,0,0,0,0,695000,€695000,0,West-Vlaanderen,Flanders
4502,apartment,knokke,8300,10654836,735000,Dumortierlaan 89,2,C,204.0,0,0,0,0,0,2,2004,Good,0,1,0,0,0,0,Gas,735000,€735000,0,West-Vlaanderen,Flanders
4503,apartment,knokke,8300,10654834,749000,Dumortierlaan 89,2,A,83.0,0,0,0,0,0,2,2018,Good,0,1,0,0,0,0,Gas,749000,€749000,0,West-Vlaanderen,Flanders
4505,apartment,knokke,8300,10654832,795000,Dumortierlaan 89,2,B,125.0,0,0,0,0,0,2,2009,Good,0,2,0,0,0,0,Gas,795000,€795000,0,West-Vlaanderen,Flanders
4506,apartment,knokke,8300,10654831,795000,Dumortierlaan 89,3,C,215.0,0,0,0,0,0,2,1971,0,0,2,0,0,0,0,0,795000,€795000,0,West-Vlaanderen,Flanders
4507,apartment,knokke-heist,8300,10654830,795000,Dumortierlaan 89,2,B,173.0,0,0,0,0,0,2,2005,0,0,2,0,0,0,0,0,795000,€795000,0,West-Vlaanderen,Flanders
4508,house,mechelen,2800,10654829,190000,Dorp 35,3,F,606.0,0,0,0,79,39,2,1930,Good,0,1,0,0,1,0,Electric,190000,€190000,0,Antwerpen,Flanders
4509,apartment,mechelen,2800,10654828,340000,Dorp 35,1,B,116.0,0,0,0,0,0,0,2008,Good,0,1,0,0,1,0,Gas,340000,€340.000.,0,Antwerpen,Flanders
4510,apartment,knokke-heist,8300,10654827,795000,Dumortierlaan 89,2,B,105.0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,795000,€795000,0,West-Vlaanderen,Flanders
4513,duplex,knokke-heist,8300,10654817,835000,Dumortierlaan 89,3,B,137.0,0,0,0,0,0,2,2003,0,0,2,0,0,2,0,0,835000,€835000,0,West-Vlaanderen,Flanders
4515,apartment,knokke,8300,10654814,895000,Dumortierlaan 89,3,A,97.0,0,0,0,0,0,2,2008,Good,0,2,0,0,3,0,0,895000,€895000,0,West-Vlaanderen,Flanders
4517,apartment,knokke-heist,8300,10654812,895000,Dumortierlaan 89,2,C,245.0,0,0,0,0,0,2,2022,0,0,1,5,0,1,0,0,895000,€895000,0,West-Vlaanderen,Flanders
4519,apartment,knokke,8300,10654809,935000,Dumortierlaan 89,3,B,129.0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,Gas,935000,€935000,0,West-Vlaanderen,Flanders
4521,apartment,knokke,8300,10654807,1090000,Dumortierlaan 89,3,A,83.0,0,0,0,0,0,2,1990,0,0,2,0,0,0,0,0,1090000,€1090000,0,West-Vlaanderen,Flanders
4522,apartment,knokke-heist,8300,10654806,1095000,Dumortierlaan 89,3,B,175.0,0,0,0,0,0,2,2004,0,0,2,0,0,2,0,0,1095000,€1095000,0,West-Vlaanderen,Flanders
4523,apartment,knokke,8300,10654805,1150000,Dumortierlaan 89,3,B,188.0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,Gas,1150000,€1150000,0,West-Vlaanderen,Flanders
4525,apartment,knokke,8300,10654803,1150000,Dumortierlaan 89,3,B,140.0,0,0,0,0,0,2,1885,0,0,2,0,0,2,0,0,1150000,€1150000,0,West-Vlaanderen,Flanders
4526,apartment,knokke,8300,10654802,1190000,Dumortierlaan 89,2,A,89.0,0,0,0,0,0,2,1990,0,0,1,0,0,0,0,Gas,1190000,€1190000,0,West-Vlaanderen,Flanders
4527,apartment,knokke,8300,10654801,1350000,Dumortierlaan 89,2,C,224.0,0,0,0,0,0,2,1967,0,0,2,0,0,0,0,0,1350000,€1350000,0,West-Vlaanderen,Flanders
4531,apartment,knokke,8300,10654797,1830000,Dumortierlaan 89,4,B,145.0,0,0,0,0,0,2,2009,As new,0,3,0,0,0,0,Gas,1830000,€1830000,0,West-Vlaanderen,Flanders
4534,apartment,knokke,8300,10654794,2195000,Dumortierlaan 89,3,B,154.0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2195000,€2195000,0,West-Vlaanderen,Flanders
4535,apartment,knokke,8300,10654791,2685000,Dumortierlaan 89,3,C,226.0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,Gas,2685000,€2685000,0,West-Vlaanderen,Flanders
4536,apartment,knokke-heist,8300,10654785,2800000,Dumortierlaan 89,4,E,464.0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2800000,€2800000,0,West-Vlaanderen,Flanders
4537,villa,knokke-heist,8300,10654781,3350000,Dumortierlaan 89,5,C,236.0,0,0,0,536,0,0,0,0,0,2,0,0,0,0,0,3350000,€3350000,0,West-Vlaanderen,Flanders
4538,apartment,knokke,8300,10654780,3495000,Dumortierlaan 89,2,B,168.0,0,0,0,0,0,2,0,Good,0,2,0,0,0,0,Gas,3495000,€3495000,0,West-Vlaanderen,Flanders
4540,apartment,knokke-heist,8300,10654778,4295000,Dumortierlaan 89,3,A,91.0,0,1,0,0,0,2,2011,0,0,2,0,0,1,0,Gas,4295000,€4295000,1,West-Vlaanderen,Flanders
4541,apartment,knokke-heist,8300,10654777,4600000,Dumortierlaan 89,3,A,91.0,0,1,0,0,0,2,2011,0,0,2,0,0,1,0,0,4600000,€4600000,1,West-Vlaanderen,Flanders
4543,duplex,knokke-heist,8300,10654744,3750000,Kustlaan 259,4,B,120.0,0,1,38,0,0,2,2012,Good,0,3,0,0,0,0,Electric,3750000,€3750000,1,West-Vlaanderen,Flanders
4544,house,tielt-winge,3390,10654732,375000,Tervuursevest 11,4,C,289.0,0,0,0,501,0,3,1994,Good,0,2,0,0,3,0,Fuel oil,375000,€375000,0,Vlaams-Brabant,Flanders
4546,house,ieper,8900,10654726,399000,Dikkebusseweg 99,4,D,307.0,0,0,0,488,52,3,0,Good,0,1,0,0,2,0,Gas,399000,€399000,0,West-Vlaanderen,Flanders
4549,house,olen,2250,10654723,409000,PARKLAAN 46,6,C,241.0,0,0,0,942,0,4,1993,Good,0,1,0,0,2,0,Gas,409000,€409000,0,Antwerpen,Flanders
4550,house,turnhout,2300,10654722,349000,PARKLAAN 46,3,E,482.0,0,0,0,223,43,3,1993,Good,0,1,0,1,2,0,Gas,349000,€349000,0,Antwerpen,Flanders
4551,house,destelbergen,9070,10654721,500000,Grotesteenweg-Noord 2,3,F,777.0,0,0,0,850,0,0,0,To renovate,0,0,0,0,0,0,0,500000,€500000,0,Oost-Vlaanderen,Flanders
4552,house,tremelo,3128,10654718,439000,Veldonkstraat 5,6,C,220.0,0,1,0,1556,0,4,1976,To be done up,0,1,0,0,2,Installed,0,439000,€439000,1,Vlaams-Brabant,Flanders
4553,house,de%20panne,8660,10654717,325000,Duinkerkelaan 50,4,E,459.0,1,0,0,112,0,2,1962,Good,0,2,0,0,2,Installed,0,325000,€325000,0,West-Vlaanderen,Flanders
4554,flat-studio,koksijde,8670,10654716,90000,Duinkerkelaan 50,0,B,127.0,1,0,0,0,0,1,1965,Good,0,1,0,0,1,0,0,90000,€90000,0,West-Vlaanderen,Flanders
4555,house,nieuwkerken-waas,9100,10654709,429000,Mercatorstraat 64,3,F,553.0,0,0,0,1106,35,3,1964,To renovate,0,1,0,0,2,0,0,429000,€429000,0,Oost-Vlaanderen,Flanders
4556,house,roeselare,8800,10654707,200000,Noordlaan 51,3,D,367.0,0,0,0,171,0,3,1968,Good,0,1,0,0,1,0,Gas,200000,€200000,0,West-Vlaanderen,Flanders
4557,triplex,roeselare,8800,10654706,325000,Noordlaan 51,3,B,134.0,0,0,0,0,37,2,1997,As new,0,1,0,0,2,Installed,0,325000,€325000,0,West-Vlaanderen,Flanders
4558,house,halle,1500,10654703,295000,Minderbroedersstraat 8,2,F,564.0,0,1,0,151,0,2,1960,To renovate,0,1,0,0,2,0,Gas,295000,€295000,1,Vlaams-Brabant,Flanders
4559,flat-studio,blankenberge,8370,10654700,136000,Gistelsesteenweg 291,1,D,364.0,0,0,0,0,0,0,2000,Good,0,1,0,0,1,0,0,136000,€136000,0,West-Vlaanderen,Flanders
4560,penthouse,knokke,8300,10654696,1195000,Lippenslaan 116,4,B,145.0,0,1,0,0,0,2,0,Good,0,3,0,0,4,0,Gas,1195000,€1195000,1,West-Vlaanderen,Flanders
4561,house,wolvertem,1861,10654695,340000,Kerkhofstraat 76,3,C,292.0,0,1,30,170,0,2,1930,Good,0,1,0,0,0,Installed,Gas,340000,€340000,1,Vlaams-Brabant,Flanders
4562,house,zandvliet,2040,10654694,289000,"Dascottelei, 152",1,F,921.0,1,0,0,0,35,0,1989,To be done up,0,1,0,0,1,Installed,0,289000,€289000,0,Antwerpen,Flanders
4564,house,heusden-zolder,3550,10642213,329000,Kerkstraat 3,3,D,336.0,0,0,0,1039,37,4,1972,Good,0,1,0,0,2,Semi equipped,Fuel oil,329000,€329000,0,Limburg,Flanders
4565,house,sint-niklaas,9100,10654688,175000,Parklaan 59 bus1,2,C,214.0,0,0,0,43,0,2,1918,0,0,1,0,0,1,Installed,Gas,175000,€175000,0,Oost-Vlaanderen,Flanders
4566,house,drongen,9031,10654687,850000,"Kortrijksesteenweg, 390 bus 001",4,B,198.0,0,0,0,1213,0,4,1995,Good,0,1,0,0,2,Not installed,Gas,850000,€850000,0,Oost-Vlaanderen,Flanders
4568,house,ville-en-hesbaye,4260,10654683,390000,Rue Albert Ier 105,4,D,309.0,0,1,47,1913,25,0,0,0,0,0,1,0,0,Installed,Fuel oil,390000,€390000,1,Liï¿½ge,Wallonia
4569,house,rumst,2840,10654681,225000,Paalstraat 70,3,E,479.0,0,0,0,0,0,2,0,Good,0,1,0,0,1,Installed,Gas,225000,€225000,0,Antwerpen,Flanders
4570,house,mi%C3%A9cret,5376,10654680,695000,Chaussée de Marche 398,3,C,250.0,0,0,0,12185,0,2,0,Good,0,1,1,0,0,Installed,Fuel oil,695000,€695000,0,Namur,Wallonia
4571,house,bon-secours,7603,10654678,130000,Grand Place 14,2,D,319.0,0,0,0,240,16,2,0,0,0,1,0,0,0,Installed,Gas,130000,€130000,0,Hainaut,Wallonia
4572,apartment,antwerp,2000,10654676,210000,Plantin en Moretuslei 135A,1,F,582.0,0,0,0,0,26,2,0,Good,0,1,0,0,1,Installed,Gas,210000,€210000,0,Antwerpen,Flanders
4574,mixed-use-building,antwerp,2060,10654673,469000,Plantin en Moretuslei 135A,4,C,218.0,0,1,2,0,26,2,0,Just renovated,0,2,0,0,2,Installed,Gas,469000,€469000,1,Antwerpen,Flanders
4575,mixed-use-building,antwerp,2060,10654672,469000,Plantin en Moretuslei 135A,4,C,218.0,0,1,2,0,26,2,0,Just renovated,0,2,0,0,2,Installed,Gas,469000,€469000,1,Antwerpen,Flanders
4576,house,antwerp,2060,10654671,469000,Plantin en Moretuslei 135A,4,C,218.0,0,1,2,0,26,2,0,Just renovated,0,2,0,0,2,Installed,Gas,469000,€469000,1,Antwerpen,Flanders
4577,duplex,antwerp,2000,10654669,210000,Plantin en Moretuslei 135A,1,F,582.0,0,0,0,0,26,2,0,Good,0,1,0,0,1,Installed,Gas,210000,€210000,0,Antwerpen,Flanders
4579,house,baudour,7331,10618071,90000,69 route d'Ath,1,D,265.0,0,0,0,0,13,2,0,Good,0,1,0,0,1,Installed,Gas,90000,€90000,0,Hainaut,Wallonia
4587,house,villers-saint-amand,7812,10654648,350000,rue du Moulin n° 21,3,C,182.0,0,0,0,414,0,0,0,Good,0,1,0,0,1,Not installed,Gas,350000,€350000,0,Hainaut,Wallonia
4588,house,opgrimbie,3630,10654646,335000,Guido Gezellelaan 44,3,C,278.0,0,1,0,638,0,4,1976,Good,0,1,1,0,3,Semi equipped,Fuel oil,335000,€335000,1,Limburg,Flanders
4589,house,pont-de-loup,6250,10654645,129000,Rue Charles Dupret 13,3,G,560.0,0,0,0,324,0,3,0,0,0,0,1,0,1,0,0,129000,€129000,0,Hainaut,Wallonia
4590,apartment,schaerbeek,1030,10654643,137500,Vismarkt 10 c,1,G,527.0,0,1,2,0,0,4,2004,Good,0,1,0,0,1,Installed,Electric,137500,€137500,1,Brussels Hoofdstedelijk Gewest,Brussels
4591,apartment,brussels%20city,1000,10654642,237500,Vismarkt 10 c,1,D,200.0,1,1,3,0,28,2,2009,Good,0,1,0,0,1,USA hyper equipped,Electric,237500,€237500,1,Brussels Hoofdstedelijk Gewest,Brussels
4592,villa,edegem,2650,10654641,1680000,Berkenlaan 44,3,E,403.0,0,0,0,2450,0,4,0,Good,0,3,0,0,0,Installed,Gas,1680000,€1680000,0,Antwerpen,Flanders
4593,villa,edegem,2650,10654640,3850000,Berkenlaan 44,6,F,548.0,0,0,0,6635,0,4,0,Good,0,2,0,0,0,Installed,Gas,3850000,€3850000,0,Antwerpen,Flanders
4594,flat-studio,brussels%20city,1000,10654639,149000,Vismarkt 10 c,0,E,241.0,1,0,0,0,25,2,2013,Good,0,1,0,0,1,Installed,Electric,149000,€149000,0,Brussels Hoofdstedelijk Gewest,Brussels
